alumnus	alumni
analysis	analyses
antenna	antennae
antenna	antennas 
appendix	appendices
axis	axes
bacterium	bacteria
basis	bases
beau	beaux
bureau	bureaus
bureau	bureaux
cactus	cacti
child	children
corpus	corpora
crisis	crises
criterion	criteria
curriculum	curricula
datum	data
deer	deer
diagnosis	diagnoses
ellipsis	ellipses
fish	fish
focus	foci
focus	focuses
foot	feet
formula	formulae
formula	formulas
fungus	fungi
fungus	funguses 
genus	genera
goose	geese
hypothesis	hypotheses
index	indeces
index	indexes
louse	lice
man	men
matrix	matrices
matrix	matrixes
means	means
medium	media
memorandum	memoranda
mouse	mice
nebula	nebulae
nucleus	nuclei
oasis	oases
offspring	offspring
ox	oxen
paralysis	paralyses
parenthesis	parentheses
phenomenon	phenomena
radius	radii
series	series
sheep	sheep
species	species
stratum	strata
synopsis	synopses
synthesis	syntheses
tableau	tableaus
tableau	tableaux
tooth	teeth
vertebra	vertebrae
vita	vitae
woman	women
